data,ticker_1,ticker_2,janela,correlacao
2023-02-24,^BVSP,BZ=F,12m,0.2381134376430685
2023-02-27,^BVSP,BZ=F,12m,0.23789496584384678
2023-02-28,^BVSP,BZ=F,12m,0.24342288731819936
2023-03-01,^BVSP,BZ=F,12m,0.23743634320437515
2023-03-02,^BVSP,BZ=F,12m,0.23458847179990297
2023-03-03,^BVSP,BZ=F,12m,0.23887028531483345
2023-03-06,^BVSP,BZ=F,12m,0.22898721710143996
2023-03-07,^BVSP,BZ=F,12m,0.22958234605718034
2023-03-08,^BVSP,BZ=F,12m,0.2256522159130424
2023-03-09,^BVSP,BZ=F,12m,0.23047351032946378
2023-03-10,^BVSP,BZ=F,12m,0.22726618854128772
2023-03-13,^BVSP,BZ=F,12m,0.23530034709679884
2023-03-14,^BVSP,BZ=F,12m,0.23503273450158454
2023-03-15,^BVSP,BZ=F,12m,0.2372618747878323
2023-03-16,^BVSP,BZ=F,12m,0.24100198400323442
2023-03-17,^BVSP,BZ=F,12m,0.24466478391253296
2023-03-20,^BVSP,BZ=F,12m,0.24227632834059043
2023-03-21,^BVSP,BZ=F,12m,0.25020521831552994
2023-03-22,^BVSP,BZ=F,12m,0.2485301531942022
2023-03-23,^BVSP,BZ=F,12m,0.24641084854758688
2023-03-24,^BVSP,BZ=F,12m,0.24509578809069016
2023-03-27,^BVSP,BZ=F,12m,0.2470388182289041
2023-03-28,^BVSP,BZ=F,12m,0.248120411987388
2023-03-29,^BVSP,BZ=F,12m,0.24266589500981472
2023-03-30,^BVSP,BZ=F,12m,0.25119873718161323
2023-03-31,^BVSP,BZ=F,12m,0.24926542565678497
2023-04-03,^BVSP,BZ=F,12m,0.2467392952298039
2023-04-04,^BVSP,BZ=F,12m,0.2467292239549874
2023-04-05,^BVSP,BZ=F,12m,0.2472408116199949
2023-04-06,^BVSP,BZ=F,12m,0.24672361129034884
2023-04-07,^BVSP,BZ=F,12m,0.24673859797213366
2023-04-10,^BVSP,BZ=F,12m,0.24556170422973095
2023-04-11,^BVSP,BZ=F,12m,0.24750539019695353
2023-04-12,^BVSP,BZ=F,12m,0.24782477592391008
2023-04-13,^BVSP,BZ=F,12m,0.26316910751617095
2023-04-14,^BVSP,BZ=F,12m,0.26044040302022936
2023-04-17,^BVSP,BZ=F,12m,0.2599737205286003
2023-04-18,^BVSP,BZ=F,12m,0.26377853399184287
2023-04-19,^BVSP,BZ=F,12m,0.2641779880092472
